,date,tasa_de_actividad,tasa_de_empleo,tasa_de_desocupacion
0,1982-05-01,38.20,35.91,6.00
1,1982-10-01,38.50,36.73,4.60
2,1983-05-01,37.40,35.30,5.50
3,1983-10-01,37.30,35.80,3.90
4,1984-05-01,37.80,36.00,4.70
5,1984-10-01,37.90,36.20,4.40
6,1985-05-01,37.90,35.50,6.30
7,1985-10-01,38.20,35.90,5.90
8,1986-05-01,38.60,36.30,5.90
9,1986-10-01,38.70,36.70,5.20
10,1987-05-01,39.50,37.10,6.00
11,1987-10-01,38.90,36.10,5.70
12,1988-05-01,38.70,36.20,6.50
13,1988-10-01,39.40,37.00,6.10
14,1989-05-01,40.20,36.90,8.10
15,1989-10-01,39.30,36.50,7.10
16,1990-05-01,39.10,35.70,8.60
17,1990-10-01,39.00,36.50,6.30
18,1991-05-01,39.50,36.80,6.90
19,1991-10-01,39.50,37.10,6.00
20,1992-05-01,39.80,37.10,6.90
21,1992-10-01,40.20,37.40,7.00
22,1993-05-01,41.50,37.40,9.90
23,1993-10-01,41.00,37.10,9.30
24,1994-05-01,41.10,36.70,10.70
25,1994-10-01,40.80,35.80,12.20
26,1995-05-01,42.60,34.80,18.40
27,1995-10-01,41.40,34.50,16.60
28,1996-05-01,41.00,34.00,17.10
29,1996-10-01,41.90,34.60,17.30
30,1997-05-01,42.10,35.30,16.10
31,1997-10-01,42.30,36.50,13.70
32,1998-05-01,42.40,36.90,13.20
33,1998-08-01,42.00,36.50,13.20
34,1998-10-01,42.10,36.90,12.40
35,1999-05-01,42.80,36.60,14.50
36,1999-08-01,42.30,36.20,14.50
37,1999-10-01,42.70,36.80,13.80
38,2000-05-01,42.40,35.90,15.40
39,2000-10-01,42.70,36.50,14.70
40,2001-05-01,42.80,35.80,16.40
41,2001-10-01,42.20,34.50,18.30
42,2002-05-01,41.80,32.80,21.50
43,2002-10-01,42.90,35.30,17.80
44,2003-01-01,45.60,36.30,20.40
45,2003-04-01,45.60,37.40,17.80
46,2003-07-01,46.28,38.81,16.15
47,2003-10-01,46.35,39.65,14.45
48,2004-01-01,46.14,39.55,14.28
49,2004-04-01,46.73,39.88,14.65
50,2004-07-01,46.69,40.56,13.13
51,2004-10-01,46.49,40.90,12.02
52,2005-01-01,46.09,40.13,12.92
53,2005-04-01,46.00,40.49,11.96
54,2005-07-01,46.70,41.51,11.12
55,2005-10-01,46.47,41.80,10.04
56,2006-01-01,46.44,41.19,11.31
57,2006-04-01,46.98,42.13,10.32
58,2006-07-01,46.71,42.00,10.09
59,2006-10-01,46.43,42.43,8.62
60,2007-01-01,46.57,42.06,9.69
61,2007-04-01,46.37,42.53,8.29
62,2007-07-01,46.20,42.40,8.10
63,2007-10-01,45.63,42.20,7.52
64,2008-01-01,45.83,42.02,8.31
65,2008-04-01,45.83,42.19,7.95
66,2008-07-01,45.55,42.01,7.77
67,2008-10-01,46.21,42.84,7.28
68,2009-01-01,46.52,42.63,8.36
69,2009-04-01,46.32,42.27,8.74
70,2009-07-01,46.12,41.93,9.09
71,2009-10-01,46.32,42.44,8.37
72,2010-01-01,46.00,42.20,8.30
73,2010-04-01,46.10,42.50,7.90
74,2010-07-01,45.90,42.50,7.50
75,2010-10-01,45.80,42.40,7.30
76,2011-01-01,45.80,42.40,7.40
77,2011-04-01,46.60,43.20,7.30
78,2011-07-01,46.70,43.40,7.20
79,2011-10-01,46.10,43.00,6.70
80,2012-01-01,45.50,42.30,7.10
81,2012-04-01,46.20,42.80,7.20
82,2012-07-01,46.90,43.30,7.60
83,2012-10-01,46.30,43.10,6.90
84,2013-01-01,45.80,42.20,7.90
85,2013-04-01,46.50,43.10,7.20
86,2013-07-01,46.10,42.90,6.80
87,2013-10-01,45.60,42.70,6.40
88,2014-01-01,45.00,41.80,7.10
89,2014-04-01,44.60,41.40,7.10
90,2014-07-01,44.70,41.30,7.50
91,2014-10-01,45.20,42.10,6.90
92,2015-01-01,44.60,41.40,7.10
93,2015-04-01,44.50,41.50,6.60
94,2015-07-01,44.80,42.20,5.90
95,2015-10-01,,,
96,2016-01-01,,,
97,2016-04-01,46.00,41.70,9.30
98,2016-07-01,46.00,42.10,8.50
99,2016-10-01,45.30,41.90,7.60
100,2017-01-01,45.50,41.30,9.20
101,2017-04-01,45.40,41.50,8.70
102,2017-07-01,46.30,42.40,8.30
103,2017-10-01,46.40,43.00,7.20
104,2018-01-01,46.70,42.40,9.10
105,2018-04-01,46.40,41.90,9.60
106,2018-07-01,46.70,42.50,9.00
107,2018-10-01,46.50,42.20,9.10
108,2019-01-01,47.00,42.30,10.10
109,2019-04-01,47.70,42.60,10.60
110,2019-07-01,47.20,42.60,9.70
111,2019-10-01,47.20,43.00,8.90
112,2020-01-01,47.10,42.20,10.40
113,2020-04-01,38.40,33.40,13.10
114,2020-07-01,42.30,37.40,11.70
115,2020-10-01,45.03,40.10,10.96
116,2021-01-01,46.30,41.60,10.20
117,2021-04-01,45.91,41.50,9.60
118,2021-07-01,46.70,42.90,8.20
119,2021-10-01,46.90,43.60,7.00
120,2022-01-01,46.50,43.30,7.00
121,2022-04-01,47.90,44.60,6.90
122,2022-07-01,47.60,44.20,7.10
123,2022-10-01,47.61,44.62,6.28
124,2023-01-01,48.29,44.97,6.87
125,2023-04-01,47.60,44.60,6.20
126,2023-07-01,48.23,45.47,5.73
127,2023-10-01,48.60,45.80,5.70
128,2024-01-01,48.00,44.30,7.70
129,2024-04-01,,44.80,7.56
