date,iva_velho,gdp_nominal_velho,iva_novo,gdp_nominal_novo
I 93,"15,057","212,627",,
II 93,"16,048","241,255",,
III 93,"17,124","243,494",,
IV 93,"16,837","248,644",,
I 94,"16,747","235,083",,
II 94,"17,948","263,684",,
III 94,"17,219","260,870",,
IV 94,"17,548","270,123",,
I 95,"17,205","250,406",,
II 95,"17,625","261,603",,
III 95,"17,081","256,868",,
IV 95,"17,857","263,250",,
I 96,"18,853","251,200",,
II 96,"18,324","280,167",,
III 96,"19,035","274,502",,
IV 96,"19,088","282,730",,
I 97,"19,919","271,260",,
II 97,"20,155","299,873",,
III 97,"21,304","298,265",,
IV 97,"20,518","302,038",,
I 98,"21,064","282,764",,
II 98,"20,865","312,129",,
III 98,"21,605","305,475",,
IV 98,"19,895","295,425",,
I 99,"19,332","270,746",,
II 99,"18,249","288,830",,
III 99,"18,827","285,087",,
IV 99,"18,677","289,429",,
I 00,"18,580","270,444",,
II 00,"19,269","291,796",,
III 00,"19,749","287,496",,
IV 00,"18,436","287,079",,
I 01,"17,610","263,331",,
II 01,"16,759","288,026",,
III 01,"16,332","271,367",,
IV 01,"14,233","252,063",,
I 02,"13,818","237,057",,
II 02,"16,326","339,008",,
III 02,"17,671","334,006",,
IV 02,"18,058","340,249",,
I 03,"19,382","327,362",,
II 03,"19,713","399,119",,
III 03,"23,931","377,887",,
IV 03,"25,061","399,270",,
I 04,"28,926","392,817","27,781","439,196"
II 04,"31,696","474,213","30,680","509,499"
III 04,"34,953","452,080","33,774","488,462"
IV 04,"32,772","471,464","31,672","503,304"
I 05,"34,324","456,764","33,006","510,703"
II 05,"37,987","552,412","36,711","605,772"
III 05,"40,392","544,228","38,827","590,220"
IV 05,"40,401","574,351","38,869","623,458"
I 06,"43,843","567,994","42,007","643,562"
II 06,"46,436","678,278","44,614","727,989"
III 06,"50,684","668,197","48,562","729,299"
IV 06,"55,213","703,286","53,234","762,766"
I 07,"55,886","681,120","53,588","774,388"
II 07,"60,211","835,125","57,907","904,350"
III 07,"69,578","827,463","66,937","914,104"
IV 07,"74,823","906,115","72,245","995,079"
I 08,"76,702","887,643","73,601","1,032,357"
II 08,"82,671","1,107,943","79,689","1,213,883"
III 08,"88,522","1,057,551","85,001","1,183,692"
IV 08,"89,164","1,077,896","82,625","1,168,652"
I 09,"84,203","992,962","80,578","1,112,307"
II 09,"87,048","1,195,372","83,665","1,251,465"
III 09,"96,323","1,168,795","92,958","1,269,735"
IV 09,"95,799","1,224,704","92,342","1,358,210"
I 10,"103,733","1,217,381","100,277","1,418,858"
II 10,"114,363","1,508,286","110,907","1,686,067"
III 10,"128,219","1,465,857","124,762","1,712,835"
IV 10,"134,293","1,579,098","129,598","1,829,124"
I 11,"139,913","1,567,580","137,056","1,888,827"
II 11,"150,145","1,976,227","147,568","2,237,124"
III 11,"167,904","1,865,391","164,408","2,250,487"
IV 11,"171,371","1,958,890","167,915","2,339,658"
I 12,"173,897","1,874,935","170,441","2,345,560"
II 12,"183,804","2,273,162","180,348","2,651,098"
III 12,"203,948","2,182,909","196,950","2,704,828"
IV 12,"221,244","2,325,977","214,247","2,850,170"
I 13,"248,192","2,279,489","222,884","2,888,981"
II 13,"260,945","2,907,278","234,248","3,387,811"
III 13,"293,486","2,711,457","263,989","3,436,547"
IV 13,,,"274,904","3,679,896"
I 14,,,"309,691","3,917,649"
II 14,,,"313,730","4,702,630"
III 14,,,"343,668","4,685,503"
IV 14,,,"357,722","5,010,564"
I 15,,,"393,858","5,092,694"
II 15,,,"400,361","5,951,479"
III 15,,,"456,261","6,221,731"
IV 15,,,"481,825","6,552,140"
I 16,,,"532,675","7,006,645"
II 16,,,"565,910","8,414,556"
III 16,,,"609,419","8,527,629"
IV 16,,,"624,863","8,963,808"
I 17,,,"660,294","9,240,878"
II 17,,,"727,775","10,558,208"
III 17,,,"810,580","11,116,422"
IV 17,,,"862,696","11,725,406"
I 18,,,"955,592","12,457,790"
II 18,,,"1,033,155","14,431,394"
III 18,,,"1,157,583","15,276,276"
IV 18,,,"1,212,080","16,813,783"
I 19,,,"1,307,685","17,484,109"
II 19,,,"1,483,127","21,233,558"
III 19,,,"1,646,318","22,303,884"
IV 19,,,"1,693,259","25,212,226"
I 20,,,"1,795,453","24,999,988"
II 20,,,"1,596,488","24,025,362"
III 20,,,"1,892,110","27,536,380"
IV20,,,"2,337,489","32,277,527"
I 21,,,"2,769,461","36,785,110"
II 21,,,"3,008,871","46,340,281"
III 21,,,"3,404,646","47,462,529"
IV21,,,"3,791,456","54,288,414"
I 22,,,"4,316,212","60,129,874"
II 22,,,"5,222,931","78,506,633"
III 22,,,"6,284,271","87,747,392"
IV22,,,"7,501,904","104,227,398"
I 23,,,"9,073,902","120,086,819"
II 23,,,"12,354,345","158,076,039"
III 23,,,"16,688,945","205,353,653"
IV23,,,"21,048,849","282,103,476"
I 24,,,"33,369,188","418,191,841"
II 24,,,"39,087,705","554,736,662"
